Unnamed: 0,kW,kW.1,kW.2
2023-04-01 22:45:00,538.23999023438,25.89999961853,22.0
2023-04-01 23:00:00,540.15997314453,25.60000038147,18.0
2023-04-01 23:15:00,499.67999267578,10.5,23.0
2023-04-01 23:30:00,462.55999755859,26.200000762939,21.0
2023-04-01 23:45:00,470.55999755859,25.60000038147,18.0
2023-04-02 00:00:00,489.44000244141,9.0,24.0
2023-04-02 00:15:00,493.92001342773,26.200000762939,21.0
2023-04-02 00:30:00,472.79998779297,25.60000038147,18.0
2023-04-02 00:45:00,478.39999389648,8.3999996185303,23.0
2023-04-02 01:00:00,477.76000976562,26.299999237061,22.0
2023-04-02 01:15:00,474.23999023438,25.60000038147,18.0
2023-04-02 01:30:00,455.04000854492,8.3999996185303,22.0
2023-04-02 01:45:00,455.35998535156,26.10000038147,20.0
2023-04-02 02:00:00,485.44000244141,25.700000762939,21.0
2023-04-02 02:15:00,465.92001342773,8.5,21.0
2023-04-02 02:30:00,454.23999023438,26.10000038147,21.0
2023-04-02 02:45:00,423.20001220703,25.700000762939,20.0
2023-04-02 03:00:00,540.96002197266,8.3999996185303,21.0
2023-04-02 03:15:00,508.64001464844,26.299999237061,21.0
2023-04-02 03:30:00,470.7200012207,25.799999237061,21.0
2023-04-02 03:45:00,464.95999145508,25.5,20.0
2023-04-02 04:00:00,477.60000610352,26.299999237061,22.0
2023-04-02 04:15:00,473.60000610352,25.89999961853,20.0
2023-04-02 04:30:00,480.16000366211,8.3999996185303,19.0
2023-04-02 04:45:00,485.11999511719,17.200000762939,23.0
2023-04-02 05:00:00,459.35998535156,26.10000038147,21.0
2023-04-02 05:15:00,437.2799987793,8.3999996185303,19.0
2023-04-02 05:30:00,417.76000976562,26.299999237061,22.0
2023-04-02 05:45:00,431.04000854492,25.89999961853,21.0
2023-04-02 06:00:00,486.23999023438,8.3999996185303,19.0
2023-04-02 06:15:00,467.51998901367,26.39999961853,23.0
2023-04-02 06:30:00,499.51998901367,26.0,21.0
2023-04-02 06:45:00,490.88000488281,8.5,18.0
