datetime,value_1,value_2,value_3
2022-06-01 00:00:00,826.40002441406,55.5,62
2022-06-01 00:15:00,705.59997558594,46.200000762939,46
2022-06-01 00:30:00,703.35998535156,45.200000762939,49
2022-06-01 00:45:00,773.91998291016,45,48
2022-06-01 01:00:00,666.23999023438,45.299999237061,44
2022-06-01 01:15:00,670.08001708984,49.299999237061,50
2022-06-01 01:30:00,626.55999755859,46.400001525879,49
2022-06-01 01:45:00,632.96002197266,48,44
2022-06-01 02:00:00,641.44000244141,45.400001525879,49
2022-06-01 02:15:00,676.64001464844,46.099998474121,47
2022-06-01 02:30:00,673.11999511719,44.299999237061,43
2022-06-01 02:45:00,636.47998046875,42.799999237061,46
2022-06-01 03:00:00,666.71997070312,43.900001525879,47
2022-06-01 03:15:00,659.35998535156,42.799999237061,40
2022-06-01 03:30:00,634.23999023438,44.700000762939,46
2022-06-01 03:45:00,648,42,45
2022-06-01 04:00:00,779.35998535156,44.400001525879,42
2022-06-01 04:15:00,810.88000488281,45.599998474121,49
2022-06-01 04:30:00,870.55999755859,43.400001525879,43
2022-06-01 04:45:00,1175.5200195312,45.599998474121,49
2022-06-01 05:00:00,1556.6400146484,49.400001525879,49
2022-06-01 05:15:00,1180.6400146484,50,46
2022-06-01 05:30:00,1218.2399902344,49.200000762939,53
2022-06-01 05:45:00,1747.1999511719,52.700000762939,51
2022-06-01 06:00:00,1731.0400390625,51.700000762939,49
2022-06-01 06:15:00,1531.8399658203,65.199996948242,62
2022-06-01 06:30:00,1567.3599853516,81.199996948242,75
2022-06-01 06:45:00,1649.5999755859,65.599998474121,67
2022-06-01 07:00:00,1932.9599609375,104.09999847412,90
2022-06-01 07:15:00,1887.1999511719,116,105
2022-06-01 07:30:00,1848,111.19999694824,112
2022-06-01 07:45:00,1766.8800048828,126.69999694824,119
2022-06-01 08:00:00,1922.2399902344,114.30000305176,110
2022-06-01 08:15:00,1773.5999755859,129.80000305176,128
2022-06-01 08:30:00,1846.5600585938,119.19999694824,124
2022-06-01 08:45:00,1811.1999511719,118,112
2022-06-01 09:00:00,1854.2399902344,99.699996948242,110
2022-06-01 09:15:00,2005.2800292969,101.40000152588,95
2022-06-01 09:30:00,1955.3599853516,112.90000152588,112
2022-06-01 09:45:00,1928.9599609375,121.69999694824,113
2022-06-01 10:00:00,1868.4799804688,113.40000152588,106
2022-06-01 10:15:00,1931.5200195313,106.40000152588,113
2022-06-01 10:30:00,1870.4000244141,131.69999694824,115
2022-06-01 10:45:00,1918.4000244141,103.90000152588,122
2022-06-01 11:00:00,1877.9200439453,109.59999847412,113
2022-06-01 11:15:00,1805.5999755859,116.40000152588,109
2022-06-01 11:30:00,1559.8399658203,127.19999694824,120
2022-06-01 11:45:00,1763.0400390625,101.5,114
2022-06-01 12:00:00,1954.2399902344,104.40000152588,96
2022-06-01 12:15:00,1919.5200195312,112.40000152588,108
2022-06-01 12:30:00,1952.3199462891,102.5,110
2022-06-01 12:45:00,1904.8000488281,134,110
2022-06-01 13:00:00,1971.3599853516,127.80000305176,145
2022-06-01 13:15:00,1926.2399902344,139.10000610352,125
2022-06-01 13:30:00,1988.4799804688,157.39999389648,146
2022-06-01 13:45:00,1789.9200439453,156.39999389648,148
2022-06-01 14:00:00,1688,117.19999694824,134
2022-06-01 14:15:00,1687.8399658203,133.80000305176,134
2022-06-01 14:30:00,1843.5200195312,116.30000305176,128
2022-06-01 14:45:00,1898.2399902344,118.30000305176,104
2022-06-01 15:00:00,1936,119.40000152588,121
2022-06-01 15:15:00,1850.0799560547,109.19999694824,109
2022-06-01 15:30:00,1979.1999511719,118.5,120
2022-06-01 15:45:00,1945.2800292969,125.5,121
2022-06-01 16:00:00,1858.4000244141,106.69999694824,111
2022-06-01 16:15:00,1839.5200195313,110.80000305176,118
2022-06-01 16:30:00,1876.8000488281,114.80000305176,114
2022-06-01 16:45:00,1875.6800537109,100.69999694824,101
2022-06-01 17:00:00,1826.5600585938,85.199996948242,92
2022-06-01 17:15:00,1885.2800292969,96,86
2022-06-01 17:30:00,1877.9200439453,104.19999694824,103
2022-06-01 17:45:00,1681.9200439453,90.5,96
2022-06-01 18:00:00,1634.8800048828,89.099998474121,88
2022-06-01 18:15:00,1768.4799804688,80.300003051758,87
2022-06-01 18:30:00,1912.1600341797,99.699996948242,96
2022-06-01 18:45:00,1880,95.699996948242,91
2022-06-01 19:00:00,1912.8000488281,101.59999847412,103
2022-06-01 19:15:00,1803.8399658203,103.09999847412,93
2022-06-01 19:30:00,1843.8399658203,108.09999847412,108
2022-06-01 19:45:00,1776.3199462891,106.80000305176,107
2022-06-01 20:00:00,1835.5200195312,83.800003051758,91
2022-06-01 20:15:00,1633.1199951172,94.199996948242,101
2022-06-01 20:30:00,1401.5999755859,81.199996948242,94
2022-06-01 20:45:00,1558.8800048828,77.699996948242,73
2022-06-01 21:00:00,1623.3599853516,79,87
2022-06-01 21:15:00,1579.6800537109,86.900001525879,93
2022-06-01 21:30:00,1630.4000244141,91.099998474121,82
2022-06-01 21:45:00,1666.8800048828,93.800003051758,95
2022-06-01 22:00:00,1684.3199462891,99.300003051758,86
2022-06-01 22:15:00,1485.5999755859,104.59999847412,95
2022-06-01 22:30:00,1399.5200195312,90.599998474121,98
2022-06-01 22:45:00,1535.5200195312,85.5,81
2022-06-01 23:00:00,1610.2399902344,105.09999847412,95
2022-06-01 23:15:00,1425.1199951172,97.5,101
2022-06-01 23:30:00,1127.1999511719,84,85
2022-06-01 23:45:00,1012.4799804688,76.400001525879,86
2022-06-02 00:00:00,872.64001464844,54.5,70
2022-06-02 00:15:00,740.64001464844,46,49
2022-06-02 00:30:00,692.96002197266,47.700000762939,49
2022-06-02 00:45:00,686.23999023438,45.200000762939,48
2022-06-02 01:00:00,698.08001708984,49,44
2022-06-02 01:15:00,685.91998291016,50.900001525879,50
2022-06-02 01:30:00,657.76000976562,46.900001525879,46
2022-06-02 01:45:00,630.08001708984,46,48
2022-06-02 02:00:00,644,46.599998474121,47
2022-06-02 02:15:00,680.64001464844,44.400001525879,42
2022-06-02 02:30:00,707.35998535156,42.799999237061,46
2022-06-02 02:45:00,715.84002685547,46.099998474121,45
2022-06-02 03:00:00,732.32000732422,43.299999237061,41
2022-06-02 03:15:00,701.11999511719,42.5,44
2022-06-02 03:30:00,713.76000976562,40,43
2022-06-02 03:45:00,698.55999755859,39.700000762939,38
2022-06-02 04:00:00,831.52001953125,45,45
2022-06-02 04:15:00,813.59997558594,44.700000762939,42
2022-06-02 04:30:00,820.15997314453,45.299999237061,47
2022-06-02 04:45:00,877.28002929688,42.5,46
2022-06-02 05:00:00,1558.8800048828,42.200000762939,43
2022-06-02 05:15:00,1422.7199707031,47.299999237061,50
2022-06-02 05:30:00,1544.6400146484,44.099998474121,50
2022-06-02 05:45:00,1665.2800292969,48.299999237061,44
2022-06-02 06:00:00,1539.0400390625,47.599998474121,50
2022-06-02 06:15:00,1465.9200439453,56.799999237061,49
2022-06-02 06:30:00,1548.6400146484,66.199996948242,63
2022-06-02 06:45:00,1551.3599853516,65.199996948242,63
2022-06-02 07:00:00,1748.4799804688,84.699996948242,75
2022-06-02 07:15:00,1867.0400390625,104.09999847412,100
2022-06-02 07:30:00,1829.4399414062,97,103
2022-06-02 07:45:00,1779.6800537109,113.09999847412,97
2022-06-02 08:00:00,1816.4799804687,114,116
2022-06-02 08:15:00,1826.5600585938,100,102
2022-06-02 08:30:00,1875.8399658203,105.09999847412,104
2022-06-02 08:45:00,1803.3599853516,95.599998474121,104
2022-06-02 09:00:00,1764.4799804688,108,95
2022-06-02 09:15:00,1939.6800537109,89.400001525879,98
2022-06-02 09:30:00,1916.1600341797,104.40000152588,109
2022-06-02 09:45:00,1838.8800048828,118.09999847412,109
2022-06-02 10:00:00,1880.1600341797,117.19999694824,118
2022-06-02 10:15:00,1896.9599609375,123.59999847412,112
2022-06-02 10:30:00,1836.4799804688,125.09999847412,126
2022-06-02 10:45:00,1867.8399658203,103.30000305176,116
2022-06-02 11:00:00,1929.9200439453,109.5,97
2022-06-02 11:15:00,1845.5999755859,110.30000305176,121
2022-06-02 11:30:00,1574.2399902344,87.599998474121,105
2022-06-02 11:45:00,1563.3599853516,85.599998474121,99
2022-06-02 12:00:00,1623.3599853516,82,88
2022-06-02 12:15:00,1858.0799560547,78.400001525879,80
2022-06-02 12:30:00,1997.9200439453,103.69999694824,109
2022-06-02 12:45:00,2000.3199462891,161.60000610352,137
2022-06-02 13:00:00,1992.8000488281,161.19999694824,146
2022-06-02 13:15:00,1914.0799560547,158,162
2022-06-02 13:30:00,1972.9599609375,160.39999389648,140
2022-06-02 13:45:00,1891.3599853516,159.5,166
2022-06-02 14:00:00,1916.1600341797,138.80000305176,156
2022-06-02 14:15:00,1928.9599609375,141.89999389648,146
2022-06-02 14:30:00,1963.0400390625,111.59999847412,142
2022-06-02 14:45:00,2002.0799560547,136.60000610352,135
2022-06-02 15:00:00,2007.0400390625,128.60000610352,123
2022-06-02 15:15:00,2004.4799804688,136.5,133
2022-06-02 15:30:00,1683.1999511719,109.40000152588,113
2022-06-02 15:45:00,1478.5600585938,106.5,115
2022-06-02 16:00:00,1431.8399658203,104.19999694824,110
2022-06-02 16:15:00,1425.1199951172,105.80000305176,95
2022-06-02 16:30:00,1587.1999511719,102,105
2022-06-02 16:45:00,1710.8800048828,111.19999694824,114
2022-06-02 17:00:00,1803.1999511719,111.19999694824,103
2022-06-02 17:15:00,1867.6800537109,99.199996948242,113
2022-06-02 17:30:00,1918.2399902344,113.19999694824,99
2022-06-02 17:45:00,1639.0400390625,104.69999694824,109
2022-06-02 18:00:00,1576.6400146484,110.19999694824,113
2022-06-02 18:15:00,1721.4399414062,83.800003051758,78
2022-06-02 18:30:00,1879.5200195312,113.19999694824,103
2022-06-02 18:45:00,1996.6400146484,119.90000152588,118
2022-06-02 19:00:00,1989.2800292969,121.90000152588,118
2022-06-02 19:15:00,1907.6800537109,108.09999847412,119
2022-06-02 19:30:00,1921.2800292969,120.80000305176,106
2022-06-02 19:45:00,1937.5999755859,102,120
2022-06-02 20:00:00,1940.6400146484,100.30000305176,111
2022-06-02 20:15:00,1631.3599853516,104.40000152588,101
