Timestamp,Electricity Power (kW)
2023-08-06 16:00:00,443.83999633789
2023-08-06 17:00:00,498.39999389648
2023-08-06 18:00:00,536.32000732422
2023-08-06 19:00:00,524.0
2023-08-06 20:00:00,514.40002441406
2023-08-06 21:00:00,495.83999633789
2023-08-06 22:00:00,486.88000488281
2023-08-06 23:00:00,465.60000610352
2023-08-07 00:00:00,496.95999145508
2023-08-07 01:00:00,470.39999389648
2023-08-07 02:00:00,463.83999633789
2023-08-07 03:00:00,465.76000976563
2023-08-07 04:00:00,510.39999389648
2023-08-07 05:00:00,797.28002929688
2023-08-07 06:00:00,1567.8399658203
2023-08-07 07:00:00,1793.9200439453
2023-08-07 08:00:00,1807.8399658203
2023-08-07 09:00:00,1832.8000488281
2023-08-07 10:00:00,1860.4799804688
2023-08-07 11:00:00,1896.9599609375
2023-08-07 12:00:00,1646.4000244141
2023-08-07 13:00:00,1340.9599609375
2023-08-07 14:00:00,882.08001708984
2023-08-07 15:00:00,786.08001708984
2023-08-07 16:00:00,853.11999511719
2023-08-07 17:00:00,1593.7600097656
2023-08-07 18:00:00,1673.9200439453
2023-08-07 19:00:00,1662.7199707031
2023-08-07 20:00:00,1546.2399902344
2023-08-07 21:00:00,1416.4799804688
2023-08-07 22:00:00,1508.9599609375
2023-08-07 23:00:00,1457.2800292969
2023-08-08 00:00:00,1452.9599609375
2023-08-08 01:00:00,972.64001464844
2023-08-08 02:00:00,683.84002685547
2023-08-08 03:00:00,664.64001464844
2023-08-08 04:00:00,694.08001708984
2023-08-08 05:00:00,851.52001953125
2023-08-08 06:00:00,1657.5999755859
2023-08-08 07:00:00,1863.1999511719
2023-08-08 08:00:00,1879.8399658203
2023-08-08 09:00:00,1638.5600585938
2023-08-08 10:00:00,1757.4399414062
2023-08-08 11:00:00,1806.2399902344
2023-08-08 12:00:00,1787.8399658203
2023-08-08 13:00:00,1820.6400146484
2023-08-08 14:00:00,1517.4399414062
2023-08-08 15:00:00,1654.7199707031
2023-08-08 16:00:00,1611.0400390625
2023-08-08 17:00:00,1659.1999511719
2023-08-08 18:00:00,1521.7600097656
2023-08-08 19:00:00,1713.2800292969
2023-08-08 20:00:00,1617.2800292969
2023-08-08 21:00:00,1483.8399658203
2023-08-08 22:00:00,1312.1600341797
2023-08-08 23:00:00,1442.5600585938
2023-08-09 00:00:00,636.79998779297
2023-08-09 01:00:00,696.64001464844
2023-08-09 02:00:00,640.96002197266
2023-08-09 03:00:00,713.44000244141
2023-08-09 04:00:00,693.59997558594
2023-08-09 05:00:00,896.47998046875
2023-08-09 06:00:00,1659.3599853516
2023-08-09 07:00:00,1882.8800048828
2023-08-09 08:00:00,1826.2399902344
2023-08-09 09:00:00,1756.6400146484
2023-08-09 10:00:00,1842.4000244141
2023-08-09 11:00:00,1805.9200439453
2023-08-09 12:00:00,1654.0799560547
2023-08-09 13:00:00,1714.7199707031
2023-08-09 14:00:00,1538.7199707031
2023-08-09 15:00:00,1634.5600585938
2023-08-09 16:00:00,1624.0
2023-08-09 17:00:00,1715.6800537109
2023-08-09 18:00:00,1363.5200195312
2023-08-09 19:00:00,1609.9200439453
